Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Not Appl.
DATE       : 06/10/2015
TIME       : 07:57:53
FILENAME   : Ceradiver.CSV
CREATED BY : SWS Diver-Office 7.0.2.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =Cera-Diver=16
  Status                  =Started =0
  Serial number           =..00-J4845  216.
  Instrument number       =                    
                          =0
  Location                =pcmarshbarom
  Sample period           =M12
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =..00-J4845  216.
  Instrument number       =                    
  Location                =pcmarshbarom
  Sample period           =00 00:12:00 0
  Sample method           =T   
  Start date / time       =48:15:08 18/08/15
  End date / time         =48:51:06 06/10/15
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Pressure[cm],Temperature[°C]
2015/09/12 22:15:48,1031.167,21.613
2015/09/12 22:27:48,1031.283,21.607
2015/09/12 22:39:48,1031.167,21.620
2015/09/12 22:51:48,1031.167,21.640
2015/09/12 23:03:48,1031.517,21.640
2015/09/12 23:15:48,1031.517,21.640
2015/09/12 23:27:48,1031.167,21.647
2015/09/12 23:39:48,1031.225,21.627
2015/09/12 23:51:48,1031.167,21.647
2015/09/13 00:03:48,1030.817,21.670
2015/09/13 00:15:48,1030.992,21.647
2015/09/13 00:27:48,1031.225,21.627
2015/09/13 00:39:48,1031.108,21.633
2015/09/13 00:51:48,1031.342,21.613
2015/09/13 01:03:48,1031.167,21.543
2015/09/13 01:15:48,1031.342,21.447
2015/09/13 01:27:48,1030.992,21.350
2015/09/13 01:39:48,1031.108,21.243
2015/09/13 01:51:48,1031.342,21.140
2015/09/13 02:03:48,1031.225,21.093
2015/09/13 02:15:48,1031.342,21.057
2015/09/13 02:27:48,1030.992,20.967
2015/09/13 02:39:48,1031.167,20.890
2015/09/13 02:51:48,1031.167,20.890
2015/09/13 03:03:48,1030.992,20.897
2015/09/13 03:15:48,1030.992,20.883
2015/09/13 03:27:48,1030.817,20.910
2015/09/13 03:39:48,1031.225,20.940
2015/09/13 03:51:48,1031.225,20.967
2015/09/13 04:03:48,1030.992,20.960
2015/09/13 04:15:48,1030.992,20.910
2015/09/13 04:27:48,1031.342,20.807
2015/09/13 04:39:48,1031.400,20.677
2015/09/13 04:51:48,1031.750,20.510
2015/09/13 05:03:48,1031.400,20.440
2015/09/13 05:15:48,1031.400,20.427
2015/09/13 05:27:48,1031.575,20.420
2015/09/13 05:39:48,1031.925,20.403
2015/09/13 05:51:48,1031.925,20.350
2015/09/13 06:03:48,1032.333,20.267
2015/09/13 06:15:48,1032.508,20.170
2015/09/13 06:27:48,1032.508,20.093
2015/09/13 06:39:48,1032.742,20.070
2015/09/13 06:51:48,1032.683,20.093
2015/09/13 07:03:48,1032.683,20.133
2015/09/13 07:15:48,1032.508,20.120
2015/09/13 07:27:48,1032.508,20.170
2015/09/13 07:39:48,1032.508,20.320
2015/09/13 07:51:48,1032.625,20.723
2015/09/13 08:03:48,1032.858,21.100
2015/09/13 08:15:48,1032.858,21.403
2015/09/13 08:27:48,1033.383,21.370
2015/09/13 08:39:48,1033.208,21.570
2015/09/13 08:51:48,1033.442,21.583
2015/09/13 09:03:48,1033.383,21.503
2015/09/13 09:15:48,1033.383,21.537
2015/09/13 09:27:48,1033.383,21.820
2015/09/13 09:39:48,1033.558,22.050
2015/09/13 09:51:48,1033.383,21.837
2015/09/13 10:03:48,1033.442,21.577
2015/09/13 10:15:48,1033.442,21.550
